Alpha,Corr,r2,ztrans2,zc,N2
0.01,EXP:SAT,-0.64,-0.758173745,0.073041439,834.6424195
0.01,EXP:SAT,-0.63,-0.741416144,0.072520888,852.5599119
0.01,EXP:SAT,-0.62,-0.725005088,0.072000064,870.8775177
0.01,EXP:SAT,-0.61,-0.708921359,0.071478622,889.6193034
0.01,EXP:SAT,-0.6,-0.693147181,0.070956245,908.8105001
0.01,EXP:SAT,-0.59,-0.677666068,0.070432619,928.4776853
0.01,EXP:SAT,-0.58,-0.662462707,0.069907437,948.6488919
0.01,EXP:SAT,-0.57,-0.647522845,0.069380386,969.353798
0.01,EXP:SAT,-0.56,-0.632833187,0.068851188,990.6238029
0.01,EXP:SAT,-0.55,-0.618381314,0.068319514,1012.492362
0.01,EXP:SAT,-0.54,-0.604155603,0.0677851,1034.994959
0.01,EXP:SAT,-0.53,-0.59014516,0.067247623,1058.169569
0.01,EXP:SAT,-0.52,-0.576339755,0.066706788,1082.056704
0.01,EXP:SAT,-0.51,-0.562729769,0.066162292,1106.699757
0.01,EXP:SAT,-0.5,-0.549306144,0.065613823,1132.14529
0.01,EXP:SAT,-0.49,-0.536060337,0.065061069,1158.44333
0.01,EXP:SAT,-0.48,-0.522984278,0.064503718,1185.647734
0.01,EXP:SAT,-0.47,-0.510070337,0.063941432,1213.816656
0.01,EXP:SAT,-0.46,-0.497311288,0.063373888,1243.012876
0.01,EXP:SAT,-0.45,-0.484700279,0.062800745,1273.304425
0.01,EXP:SAT,-0.44,-0.472230804,0.062221644,1304.765133
0.01,EXP:SAT,-0.43,-0.459896681,0.061636205,1337.475315
0.01,EXP:SAT,-0.42,-0.447692024,0.061044051,1371.522434
0.01,EXP:SAT,-0.41,-0.435611223,0.060444794,1407.001968
0.01,EXP:SAT,-0.4,-0.42364893,0.059838015,1444.018468
0.01,EXP:SAT,-0.39,-0.411800034,0.059223283,1482.686591
0.01,EXP:SAT,-0.38,-0.40005965,0.058600129,1523.132477
0.01,EXP:SAT,-0.37,-0.3884231,0.057968103,1565.494997
0.01,EXP:SAT,-0.36,-0.376885901,0.057326663,1609.927923
0.01,EXP:SAT,-0.35,-0.365443754,0.056675298,1656.601403
0.01,EXP:SAT,-0.34,-0.354092529,0.056013432,1705.704699
0.01,EXP:SAT,-0.33,-0.342828254,0.055340481,1757.448655
0.01,EXP:SAT,-0.32,-0.331647109,0.054655763,1812.069402
0.01,EXP:SAT,-0.31,-0.320545409,0.053958645,1869.831373
0.01,EXP:SAT,-0.3,-0.309519604,0.053248344,1931.032965
0.01,EXP:SAT,-0.29,-0.298566264,0.052524088,1996.011065
0.01,EXP:SAT,-0.28,-0.287682072,0.051785031,2065.148114
0.01,EXP:SAT,-0.27,-0.276863823,0.051030241,2138.880143
0.01,EXP:SAT,-0.26,-0.266108407,0.050258709,2217.70645
0.01,EXP:SAT,-0.25,-0.255412812,0.04946935,2302.201443
0.01,EXP:SAT,-0.24,-0.244774113,0.048660957,2393.029815
0.01,EXP:SAT,-0.23,-0.234189467,0.047832245,2490.964454
0.01,EXP:SAT,-0.22,-0.223656109,0.04698173,2596.91077
0.01,EXP:SAT,-0.21,-0.213171347,0.046107839,2711.934954
0.01,EXP:SAT,-0.2,-0.202732554,0.045208756,2837.303291
0.01,EXP:SAT,-0.19,-0.192337169,0.044282492,2974.5303
0.01,EXP:SAT,-0.18,-0.181982689,0.043326792,3125.444024
0.01,EXP:SAT,-0.17,-0.171666664,0.042339091,3292.272172
0.01,EXP:SAT,-0.16,-0.161386696,0.041316485,3477.75794
0.01,EXP:SAT,-0.15,-0.151140436,0.040255586,3685.320925
0.01,EXP:SAT,-0.14,-0.140925576,0.03915249,3919.279585
0.01,EXP:SAT,-0.13,-0.13073985,0.038002623,4185.170548
0.01,EXP:SAT,-0.12,-0.120581028,0.036800503,4490.216924
0.01,EXP:SAT,-0.11,-0.110446916,0.035539581,4844.02701
0.01,EXP:SAT,-0.1,-0.100335348,0.034211815,5259.681723
0.01,EXP:SAT,-0.09,-0.090244188,0.032807179,5755.478337
0.01,EXP:SAT,-0.08,-0.080171325,0.03131293,6357.852127
0.01,EXP:SAT,-0.07,-0.070114671,0.029712339,7106.542418
0.01,EXP:SAT,-0.06,-0.060072156,0.027982765,8064.309604
0.01,EXP:SAT,-0.05,-0.050041729,0.026092077,9336.789805
0.01,EXP:SAT,-0.04,-0.040021354,0.023992012,11117.58775
0.01,EXP:SAT,-0.03,-0.030009005,0.021603635,13807.10271
0.01,EXP:SAT,-0.02,-0.020002667,0.018779751,18403.85415
0.01,EXP:SAT,-0.01,-0.010000333,0.015173058,28410.59769
0.1,EXP:PWOM,-0.99,-2.646652412,0.067954279,176.8965123
0.1,EXP:PWOM,-0.98,-2.297559925,0.066492663,202.9375243
0.1,EXP:PWOM,-0.97,-2.09229572,0.065467731,222.2478945
0.1,EXP:PWOM,-0.96,-1.945910149,0.064642387,238.470164
0.1,EXP:PWOM,-0.95,-1.831780823,0.063934457,252.8881596
0.1,EXP:PWOM,-0.94,-1.738049345,0.063304717,266.1222064
0.1,EXP:PWOM,-0.93,-1.65839002,0.062731098,278.5254011
0.1,EXP:PWOM,-0.92,-1.589026915,0.06219981,290.3206142
0.1,EXP:PWOM,-0.91,-1.527524425,0.061701622,301.6590433
0.1,EXP:PWOM,-0.9,-1.47221949,0.061230004,312.6489577
